CCAA;pob;dens;0-4a;5-9a;10-14a;15-19a;20-24a;25-29a;30-34a;35-39a;40-44a;45-49a;50-54a;55-59a;60-64a;65-69a;70-74a;75-79a;80-84a;85-89a;90-94a;95-99a;100aymas
AN;8426405;96,19;385011;448571;489369;448704;44209;489979;530177;635716;703951;673613;661057;580203;485697;400107;360021;267669;208695;138644;51101;11459;2406
AR;1320794;27,68;55735;63300;65507;61725;62145;66122;75589;91929;108647;104834;101336;94610;82212;70434;64746;49567;44209;35708;16077;4291;568
AS;1022293;96,41;31605;38908;40960;38555;38067;41767;51964;6869;85172;82360;81167;82152;78440;68958;62030;42175;39992;31763;14037;3526;512
IB;1187808;237,94;53523;58930;61044;56964;60047;74088;84297;9775;104847;97022;86529;73979;61796;52081;45363;31892;24038;16236;7023;1748;263
CN;2207225;296,39;80672;95448;110947;111402;115421;133915;144771;170406;190649;196541;183074;155656;123808;103159;85662;62380;46452;29292;10548;2498;688
CB;581684;109,32;21599;27008;28499;25830;23882;26338;31621;42161;49925;47178;45577;43981;40579;34837;29593;20581;18737;14607;6597;1679;269
CL;2408083;25,56;82319;97964;104284;101274;102614;110129;124216;153444;181714;184625;191701;188884;167850;143441;131130;106169;97563;79246;38593;10798;1590
CM;2035505;25,62;88801;105523;111133;105089;105543;112243;122740;14913;167640;160661;158295;144431;115151;94801;84473;67614;63093;48974;21626;5179;723
CT;7565099;235,58;348928;402179;421009;386720;381311;428683;476232;57946;676092;623971;569743;499587;438548;383008;350754;252705;213520;155130;68218;17049;2370
CE;84843;458,61;5213;6024;6158;5430;5438;5657;5861;6388;6579;6121;5979;5569;4431;3073;2411;1875;1373;819;288;73;17
VC;4974475;213,91;213351;252082;273644;250493;244198;263890;294167;369512;433904;408965;388277;348088;299324;264460;240010;179782;140204;92720;37065;8370;1263
EX;1065371;25,59;424;49134;53111;53240;55385;60779;64073;72621;79066;81795;86282;82394;66212;54638;50018;39560;36436;26823;10862;2503;378
GA;2700330;91,30;95035;109879;115177;108562;108128;124766;145626;191318;226585;214645;206263;194856;178875;163937;157521;121760;109761;81028;34760;9306;1711
MD;6640705;827,19;314163;349272;353692;328133;32998;385236;435538;519992;595961;554465;506467;439937;369519;316332;288864;210820;170462;122710;54970;14633;2248
ML;84714;688,73;6725;6913;6089;5877;6033;5915;5933;6472;6205;5809;5818;5375;4447;2910;2025;1607;1247;710;302;64;11
MC;1487698;131,49;78437;87412;91445;84361;81969;87879;94874;118597;130786;120188;112688;94969;76890;64088;57027;41454;35876;23525;9308;1907;218
NC;653846;62,92;3056;35183;35496;34147;33396;32905;36686;46299;54993;52703;49722;44915;38818;33526;30680;22818;18529;14237;6569;1788;244
PV;2178048;301,08;90997;105874;107350;100789;94932;100711;118388;150177;183884;178073;173743;164424;146689;128301;118371;85862;73717;55132;23923;5720;719
RI;313582;62,16;13589;15890;16457;15151;14724;15359;17637;22538;26966;25352;24122;22939;19825;16704;15141;11749;9910;7943;3681;1016;105
;46938508;92,72;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
