,AN,AR,AS,CB,CE,CL,CM,CN,CT,EX,GA,IB,MC,MD,ML,NC,PV,RI,VC
0,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
1,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
2,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
3,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
4,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
5,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
6,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
7,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
8,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
9,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
10,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
11,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
12,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
13,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
14,-1.0,9.0,-1.0,1.0,3.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
15,-1.0,9.0,-1.0,1.0,2.0,0.0,6.0,1.0,13.0,3.0,2.0,5.0,4.0,5.0,-2.0,4.0,10.0,-3.0,18.0
